COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
ADAMS,2012,Adams County Sheriffs Office,9860,620,62.88,145,14.71,0,0,16,88,0,0,0,41,404,40.97,2,0,84,1,100,0,2,215,71,7.2,34,0,0,0,37,0
ADAMS,2013,Adams County Sheriffs Office,9935,693,69.75,130,13.09,2,0,22,86,0,2,0,18,501,50.43,4,0,120,0,137,1,1,238,62,6.24,24,0,0,1,37,0
ADAMS,2014,Adams County Sheriffs Office,10025,688,68.63,165,16.46,1,0,11,117,0,1,0,35,480,47.88,10,0,120,2,144,1,1,202,43,4.29,28,0,0,0,15,0
ADAMS,2015,Adams County Sheriffs Office,9960,685,68.78,139,13.96,0,0,16,89,2,0,0,32,491,49.3,5,0,117,1,128,0,6,234,55,5.52,33,0,0,0,22,0
ADAMS,2016,Adams County Sheriffs Office,9975,571,57.24,166,16.64,1,0,13,118,2,1,0,31,339,33.98,0,0,83,1,107,0,3,145,66,6.62,49,0,0,0,17,0
ADAMS,2017,Adams County Sheriffs Office,10035,498,49.63,133,13.25,1,0,16,93,1,1,0,21,272,27.11,1,0,50,2,84,0,3,132,93,9.27,71,0,1,0,21,0
ADAMS,2018,Adams County Sheriffs Office,10090,456,45.19,142,14.07,0,0,12,104,1,1,0,24,271,26.86,0,0,60,1,105,0,2,103,43,4.26,26,0,0,0,17,0
ADAMS,2019,Adams County Sheriffs Office,10145,389,38.34,118,11.63,0,0,7,99,0,1,0,11,196,19.32,3,0,39,1,58,0,0,95,75,7.39,66,0,0,0,9,0
ADAMS,2020,Adams County Sheriffs Office,10275,438,42.63,129,12.55,0,0,17,97,0,1,0,14,264,25.69,3,0,48,0,75,0,1,137,45,4.38,35,0,0,0,10,0
ADAMS,2012,COUNTY TOTAL,19050,1915,100.5,346,18.2,0,0,19,252,1,3,0,71,1417,74.4,10,0,182,12,516,0,8,689,152,8,90,0,0,1,61,0
ADAMS,2013,COUNTY TOTAL,19200,1971,102.7,376,19.6,3,0,26,281,2,6,0,58,1472,76.7,7,0,199,25,551,1,8,681,123,6.4,67,0,0,2,54,0
ADAMS,2014,COUNTY TOTAL,19400,1960,101,434,22.4,1,0,19,314,1,3,0,96,1402,72.3,10,0,190,28,523,1,8,642,124,6.4,88,0,1,0,35,0
ADAMS,2015,COUNTY TOTAL,19410,1607,82.8,352,18.1,0,0,26,256,3,6,0,61,1128,58.1,8,0,189,17,326,0,11,577,127,6.5,93,0,0,0,34,0
ADAMS,2016,COUNTY TOTAL,19510,1398,71.7,373,19.1,1,0,18,280,2,2,0,70,876,44.9,1,0,144,6,255,0,8,462,149,7.6,116,0,1,1,31,0
ADAMS,2017,COUNTY TOTAL,19870,1323,66.6,334,16.8,1,0,29,226,4,2,0,72,819,41.2,5,0,128,11,300,0,4,371,170,8.6,139,0,1,0,30,0
ADAMS,2018,COUNTY TOTAL,20020,1217,60.8,335,16.7,0,0,23,248,1,2,0,61,751,37.5,1,0,124,15,260,0,2,349,131,6.5,96,0,2,0,33,0
ADAMS,2019,COUNTY TOTAL,20150,1034,51.3,287,14.2,0,0,20,225,0,1,0,41,577,28.6,4,0,89,10,182,0,1,291,170,8.4,145,0,2,0,23,0
ADAMS,2020,COUNTY TOTAL,20457,1091,53.3,253,12.4,1,0,23,193,0,1,0,35,744,36.4,3,0,95,4,296,0,3,343,94,4.6,76,0,0,0,18,0
ADAMS,2012,Othello Police Department,7495,1168,155.84,175,23.35,0,0,1,149,1,2,0,22,921,122.88,8,0,76,10,398,0,5,424,72,9.61,49,0,0,1,22,0
ADAMS,2013,Othello Police Department,7565,1142,150.96,213,28.16,1,0,3,168,2,4,0,35,874,115.53,2,0,62,25,398,0,7,380,55,7.27,37,0,0,1,17,0
ADAMS,2014,Othello Police Department,7695,1161,150.88,241,31.32,0,0,7,178,1,2,0,53,842,109.42,0,0,55,26,368,0,7,386,78,10.14,57,0,1,0,20,0
ADAMS,2015,Othello Police Department,7780,757,97.3,175,22.49,0,0,7,137,1,4,0,26,520,66.84,3,0,55,9,180,0,5,268,62,7.97,53,0,0,0,9,0
ADAMS,2016,Othello Police Department,7875,649,82.41,185,23.49,0,0,5,143,0,1,0,36,387,49.14,1,0,40,4,123,0,5,214,77,9.78,63,0,1,1,12,0
ADAMS,2017,Othello Police Department,8175,623,76.21,163,19.94,0,0,10,106,3,0,0,44,388,47.46,3,0,37,6,184,0,1,157,72,8.81,63,0,0,0,9,0
ADAMS,2018,Othello Police Department,8270,570,68.92,150,18.14,0,0,8,111,0,1,0,30,339,40.99,0,0,32,12,125,0,0,170,81,9.79,63,0,2,0,16,0
ADAMS,2019,Othello Police Department,8345,521,62.43,139,16.66,0,0,10,104,0,0,0,25,294,35.23,1,0,31,7,109,0,1,145,88,10.55,72,0,2,0,14,0
ADAMS,2020,Othello Police Department,8515,516,60.6,92,10.8,0,0,4,69,0,0,0,19,376,44.16,0,0,29,4,207,0,2,134,48,5.64,40,0,0,0,8,0
ADAMS,2012,Ritzville Police Department,1695,127,74.93,26,15.34,0,0,2,15,0,1,0,8,92,54.28,0,0,22,1,18,0,1,50,9,5.31,7,0,0,0,2,0
ADAMS,2013,Ritzville Police Department,1700,136,80,33,19.41,0,0,1,27,0,0,0,5,97,57.06,1,0,17,0,16,0,0,63,6,3.53,6,0,0,0,0,0
ADAMS,2014,Ritzville Police Department,1680,111,66.07,28,16.67,0,0,1,19,0,0,0,8,80,47.62,0,0,15,0,11,0,0,54,3,1.79,3,0,0,0,0,0
ADAMS,2015,Ritzville Police Department,1670,165,98.8,38,22.75,0,0,3,30,0,2,0,3,117,70.06,0,0,17,7,18,0,0,75,10,5.99,7,0,0,0,3,0
ADAMS,2016,Ritzville Police Department,1660,178,107.23,22,13.25,0,0,0,19,0,0,0,3,150,90.36,0,0,21,1,25,0,0,103,6,3.61,4,0,0,0,2,0
ADAMS,2017,Ritzville Police Department,1660,202,121.69,38,22.89,0,0,3,27,0,1,0,7,159,95.78,1,0,41,3,32,0,0,82,5,3.01,5,0,0,0,0,0
ADAMS,2018,Ritzville Police Department,1660,191,115.06,43,25.9,0,0,3,33,0,0,0,7,141,84.94,1,0,32,2,30,0,0,76,7,4.22,7,0,0,0,0,0
ADAMS,2019,Ritzville Police Department,1660,124,74.7,30,18.07,0,0,3,22,0,0,0,5,87,52.41,0,0,19,2,15,0,0,51,7,4.22,7,0,0,0,0,0
ADAMS,2020,Ritzville Police Department,1667,137,82.18,32,19.2,1,0,2,27,0,0,0,2,104,62.39,0,0,18,0,14,0,0,72,1,0.6,1,0,0,0,0,0
ASOTIN,2012,Asotin County Sheriffs Office,13240,453,34.21,121,9.14,0,1,7,112,1,0,0,0,285,21.53,0,0,49,2,73,0,1,160,47,3.55,42,0,0,0,5,0
ASOTIN,2013,Asotin County Sheriffs Office,13325,457,34.3,116,8.71,0,0,2,109,1,4,0,0,296,22.21,0,0,46,0,100,0,3,147,45,3.38,35,0,0,0,10,0
ASOTIN,2014,Asotin County Sheriffs Office,13460,414,30.76,97,7.21,0,0,4,93,0,0,0,0,291,21.62,0,0,51,2,96,0,0,142,26,1.93,25,0,0,0,1,0
ASOTIN,2015,Asotin County Sheriffs Office,13515,378,27.97,97,7.18,0,0,7,90,0,0,0,0,256,18.94,0,0,29,1,103,0,3,120,25,1.85,22,0,1,0,2,0
ASOTIN,2016,Asotin County Sheriffs Office,13620,356,26.14,105,7.71,0,0,7,98,0,0,0,0,245,17.99,1,0,36,2,60,0,0,146,6,0.44,4,0,0,0,2,0
ASOTIN,2017,Asotin County Sheriffs Office,13765,391,28.41,108,7.85,0,0,3,102,1,2,0,0,224,16.27,0,0,34,0,67,0,2,121,59,4.29,49,0,1,0,9,0
ASOTIN,2018,Asotin County Sheriffs Office,13940,333,23.89,100,7.17,0,1,3,80,0,1,0,15,183,13.13,0,0,28,0,41,0,2,112,50,3.59,43,0,1,0,6,0
ASOTIN,2019,Asotin County Sheriffs Office,14035,435,30.99,140,9.98,1,0,5,109,0,0,0,25,243,17.31,0,0,36,3,54,0,0,150,52,3.71,39,0,1,0,12,0
ASOTIN,2020,Asotin County Sheriffs Office,14135,415,29.36,142,10.05,0,0,7,101,0,0,0,34,233,16.48,0,0,58,1,57,0,1,116,40,2.83,31,0,1,0,8,0
ASOTIN,2012,Asotin Police Department,1255,59,47.01,29,23.11,0,0,0,17,0,0,0,12,27,21.51,0,0,5,0,10,0,0,12,3,2.39,3,0,0,0,0,0
ASOTIN,2013,Asotin Police Department,1265,46,36.36,13,10.28,0,0,1,12,0,0,0,0,31,24.51,0,0,2,0,3,0,0,26,2,1.58,1,0,0,0,1,0
ASOTIN,2014,Asotin Police Department,1265,43,33.99,13,10.28,0,0,1,12,0,0,0,0,28,22.13,0,0,2,0,7,0,0,19,2,1.58,1,0,0,0,1,0
ASOTIN,2015,Asotin Police Department,1260,58,46.03,24,19.05,0,0,1,23,0,0,0,0,32,25.4,0,0,0,0,8,0,0,24,2,1.59,2,0,0,0,0,0
ASOTIN,2016,Asotin Police Department,1270,51,40.16,13,10.24,0,0,0,13,0,0,0,0,34,26.77,0,0,6,0,10,0,0,18,4,3.15,4,0,0,0,0,0
ASOTIN,2017,Asotin Police Department,1275,24,18.82,7,5.49,0,0,1,6,0,0,0,0,17,13.33,0,0,2,0,6,0,0,9,0,0,0,0,0,0,0,0
ASOTIN,2018,Asotin Police Department,1275,12,9.41,0,0,0,0,0,0,0,0,0,0,12,9.41,0,0,1,0,5,0,0,6,0,0,0,0,0,0,0,0
ASOTIN,2019,Asotin Police Department,1280,23,17.97,5,3.91,0,0,1,0,0,0,0,4,18,14.06,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0
ASOTIN,2020,Asotin Police Department,1285,31,24.12,13,10.12,0,0,0,11,0,0,0,2,17,13.23,0,0,1,0,6,0,0,10,1,0.78,1,0,0,0,0,0
ASOTIN,2012,COUNTY TOTAL,21700,1437,66.2,286,13.2,0,1,8,264,1,0,0,12,974,44.9,1,0,91,7,213,0,6,656,177,8.2,152,0,0,0,25,0
ASOTIN,2013,COUNTY TOTAL,21800,1491,68.4,278,12.8,0,0,5,267,1,5,0,0,1082,49.6,1,0,130,6,261,0,12,672,131,6,97,0,1,0,33,0
ASOTIN,2014,COUNTY TOTAL,21950,1309,59.6,273,12.4,1,0,10,262,0,0,0,0,958,43.6,4,1,134,9,246,0,5,559,78,3.6,65,0,0,1,12,0
ASOTIN,2015,COUNTY TOTAL,22010,1442,65.5,290,13.2,2,0,14,273,0,1,0,0,1081,49.1,4,0,86,4,276,0,11,700,71,3.2,55,0,2,0,14,0
ASOTIN,2016,COUNTY TOTAL,22150,1439,65,306,13.8,1,0,16,284,4,1,0,0,1081,48.8,2,0,114,7,252,0,2,704,52,2.3,39,0,1,0,12,0
ASOTIN,2017,COUNTY TOTAL,22290,1021,45.8,221,9.9,0,0,12,205,2,2,0,0,683,30.6,0,0,86,1,161,0,7,428,117,5.2,87,0,3,0,27,0
ASOTIN,2018,COUNTY TOTAL,22420,1134,50.6,284,12.7,0,1,12,230,1,2,0,38,722,32.2,2,0,100,4,184,0,6,426,128,5.7,101,0,6,0,21,0
ASOTIN,2019,COUNTY TOTAL,22520,1324,58.8,367,16.3,1,0,16,282,3,1,0,64,854,37.9,0,0,101,8,212,0,4,529,103,4.6,76,0,2,0,24,1
ASOTIN,2020,COUNTY TOTAL,22640,884,39,256,11.3,0,0,13,183,0,0,0,60,557,24.6,0,0,92,3,150,1,2,309,71,3.1,50,0,2,0,19,0
ASOTIN,2012,Clarkston Police Department,7205,925,128.38,136,18.88,0,0,1,135,0,0,0,0,662,91.88,1,0,37,5,130,0,5,484,127,17.63,107,0,0,0,20,0
ASOTIN,2013,Clarkston Police Department,7210,988,137.03,149,20.67,0,0,2,146,0,1,0,0,755,104.72,1,0,82,6,158,0,9,499,84,11.65,61,0,1,0,22,0
ASOTIN,2014,Clarkston Police Department,7225,852,117.92,163,22.56,1,0,5,157,0,0,0,0,639,88.44,4,1,81,7,143,0,5,398,50,6.92,39,0,0,1,10,0
ASOTIN,2015,Clarkston Police Department,7235,1006,139.05,169,23.36,2,0,6,160,0,1,0,0,793,109.61,4,0,57,3,165,0,8,556,44,6.08,31,0,1,0,12,0
ASOTIN,2016,Clarkston Police Department,7260,1032,142.15,188,25.9,1,0,9,173,4,1,0,0,802,110.47,1,0,72,5,182,0,2,540,42,5.79,31,0,1,0,10,0
ASOTIN,2017,Clarkston Police Department,7250,606,83.59,106,14.62,0,0,8,97,1,0,0,0,442,60.97,0,0,50,1,88,0,5,298,58,8,38,0,2,0,18,0
ASOTIN,2018,Clarkston Police Department,7205,789,109.51,184,25.54,0,0,9,150,1,1,0,23,527,73.14,2,0,71,4,138,0,4,308,78,10.83,58,0,5,0,15,0
ASOTIN,2019,Clarkston Police Department,7205,866,120.19,222,30.81,0,0,10,173,3,1,0,35,593,82.3,0,0,65,5,155,0,4,364,51,7.08,37,0,1,0,12,1
ASOTIN,2020,Clarkston Police Department,7220,438,60.66,101,13.99,0,0,6,71,0,0,0,24,307,42.52,0,0,33,2,87,1,1,183,30,4.16,18,0,1,0,11,0
BENTON,2012,Benton County Sheriffs Office,36595,1757,48.01,521,14.24,0,3,42,364,3,6,0,103,914,24.98,4,0,159,9,228,0,5,509,322,8.8,284,0,4,0,34,0
BENTON,2013,Benton County Sheriffs Office,36950,1702,46.06,589,15.94,2,2,25,471,3,4,0,82,867,23.46,2,1,150,10,241,0,5,458,246,6.66,214,0,1,0,31,0
BENTON,2014,Benton County Sheriffs Office,37275,1429,38.34,452,12.13,4,0,28,334,4,3,0,79,784,21.03,7,0,186,5,186,0,4,396,193,5.18,169,0,4,0,20,0
BENTON,2015,Benton County Sheriffs Office,37415,1557,41.61,613,16.38,0,0,38,458,0,9,1,107,731,19.54,2,0,112,8,211,2,5,391,213,5.69,187,0,4,1,21,0
BENTON,2016,Benton County Sheriffs Office,37690,1588,42.13,475,12.6,1,1,35,354,1,5,0,78,899,23.85,6,0,172,8,249,0,6,458,214,5.68,184,0,5,1,24,0
BENTON,2017,Benton County Sheriffs Office,38445,1659,43.15,595,15.48,0,0,29,432,1,5,0,128,871,22.66,3,0,139,10,298,0,3,418,193,5.02,142,0,6,0,38,7
BENTON,2018,Benton County Sheriffs Office,38805,1843,47.49,602,15.51,2,0,44,420,2,9,0,125,911,23.48,5,1,113,14,228,2,6,542,330,8.5,269,0,8,0,41,12
BENTON,2019,Benton County Sheriffs Office,39795,1536,38.6,585,14.7,2,0,26,443,0,11,0,103,738,18.55,5,0,85,10,194,1,5,438,213,5.35,172,0,1,3,27,10
BENTON,2020,Benton County Sheriffs Office,40260,2059,51.14,674,16.74,1,0,33,488,0,14,0,138,1219,30.28,4,1,199,14,270,7,5,719,166,4.12,121,0,8,1,27,9
BENTON,2012,COUNTY TOTAL,174226,11993,68.8,2742,15.7,1,3,207,2006,10,33,0,482,7507,43.1,34,0,851,112,2055,2,56,4397,1744,10,1529,0,18,3,194,0
BENTON,2013,COUNTY TOTAL,183400,11160,60.9,2765,15.1,7,2,179,2108,11,26,0,432,7320,39.9,27,2,839,127,1870,4,60,4391,1075,5.9,871,0,16,6,182,0
BENTON,2014,COUNTY TOTAL,186500,10964,58.8,2760,14.8,8,0,192,1970,7,31,0,552,7125,38.2,27,0,906,100,1585,2,59,4446,1079,5.8,844,0,23,11,201,0
BENTON,2015,COUNTY TOTAL,188683,10738,56.9,2815,14.9,3,0,201,1995,6,49,2,559,6872,36.4,38,0,750,111,1621,9,37,4306,1051,5.6,855,0,26,13,157,0
BENTON,2016,COUNTY TOTAL,190500,10870,57.1,2623,13.8,3,1,187,1850,15,34,2,531,7162,37.6,45,0,702,129,1687,6,54,4539,1085,5.7,877,1,26,13,168,0
BENTON,2017,COUNTY TOTAL,193509,11443,59.1,2919,15.1,1,0,240,2022,9,53,2,592,7260,37.5,33,0,733,103,1766,12,79,4534,1264,6.5,957,0,39,20,233,15
BENTON,2018,COUNTY TOTAL,197420,11864,60.1,3042,15.4,6,0,254,2141,6,35,7,593,7371,37.3,34,1,662,135,1735,15,61,4728,1451,7.3,1155,0,47,8,219,22
BENTON,2019,COUNTY TOTAL,201807,12428,61.6,3215,15.9,6,0,250,2344,9,39,2,565,7699,38.2,31,1,742,148,1771,13,67,4926,1514,7.5,1215,0,39,12,221,27
BENTON,2020,COUNTY TOTAL,205700,14456,70.3,3222,15.7,5,4,254,2224,5,52,0,678,10045,48.8,31,1,1097,124,2053,24,75,6640,1189,5.8,873,0,58,9,219,30
BENTON,2012,Kennewick Police Department,75160,6333,84.26,1378,18.33,1,0,102,1037,3,18,0,217,4127,54.91,19,0,458,68,1163,1,37,2381,828,11.02,714,0,7,2,105,0
BENTON,2013,Kennewick Police Department,76410,5975,78.2,1393,18.23,2,0,93,1039,7,13,0,239,4064,53.19,18,0,439,77,1005,4,43,2478,518,6.78,401,0,9,6,102,0
BENTON,2014,Kennewick Police Department,77700,5803,74.68,1470,18.92,4,0,102,1026,1,15,0,322,3780,48.65,13,0,468,66,801,2,41,2389,553,7.12,424,0,8,10,111,0
BENTON,2015,Kennewick Police Department,78374,5430,69.28,1349,17.21,3,0,107,956,5,22,1,255,3536,45.12,29,0,353,62,801,6,24,2261,545,6.95,430,0,16,8,91,0
BENTON,2016,Kennewick Police Department,79120,5570,70.4,1317,16.65,1,0,103,904,12,20,0,277,3725,47.08,31,0,296,84,868,5,37,2404,528,6.67,427,0,9,3,89,0
BENTON,2017,Kennewick Police Department,80280,5767,71.84,1329,16.55,1,0,126,887,4,28,0,283,3788,47.18,25,0,309,63,935,6,60,2390,650,8.1,502,0,18,6,121,3
BENTON,2018,Kennewick Police Department,81850,5825,71.17,1368,16.71,3,0,155,948,1,12,4,245,3773,46.1,21,0,294,78,932,6,36,2406,684,8.36,546,0,22,4,108,4
BENTON,2019,Kennewick Police Department,83670,6638,79.34,1566,18.72,2,0,160,1122,7,12,2,261,4346,51.94,12,0,392,70,982,6,50,2834,726,8.68,566,0,19,5,125,11
BENTON,2020,Kennewick Police Department,84960,6952,81.83,1333,15.69,1,0,134,886,3,14,0,295,5071,59.69,20,0,532,70,1127,1,47,3274,548,6.45,383,0,24,6,126,9
BENTON,2013,Prosser Police Department,5810,272,46.82,46,7.92,0,0,4,40,1,0,0,1,196,33.73,1,1,17,2,69,0,0,106,30,5.16,29,0,0,0,1,0
BENTON,2014,Prosser Police Department,5815,322,55.37,82,14.1,0,0,3,74,0,0,0,5,204,35.08,0,0,24,2,48,0,1,129,36,6.19,33,0,0,0,3,0
BENTON,2015,Prosser Police Department,5845,318,54.41,89,15.23,0,0,3,65,1,1,0,19,179,30.62,0,0,18,3,52,0,1,105,50,8.55,42,0,1,0,7,0
