,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,PRSNTOTAL,PRSNRATE,MURDER,MANSLAUGHTER,FORCIBLE_SEX,ASSAULT,NON_FORCIBLE_SEX,KIDNAPPING_ABDUCTION,HUMAN_TRAFFICKING,VIOL_OF_NO_CONTACT,PRPRTYTOTAL,PRPRTYRATE,ARSON,BRIBERY,BURGLARY,COUNTERFEITING_FORGERY,DESTRUCTION_OF_PROPERTY,EXTORTION_BLACKMAIL,ROBBERY,THEFT,SCTYTOTAL,SCTYRATE,DRUG_VIOLATIONS,GAMBLING_VIOLATIONS,PORNOGRAPHY,PROSTITUTION,WEAPON_LAW_VIOLATION,ANIMAL_CRUELTY
9,ADAMS,2012,COUNTY TOTAL,19050.0,1915,100.5,346,18.2,0.0,0,19,252,1,3,0,71,1417,74.4,10,0,182,12,516,0,8,689,152,8.0,90,0,0,1,61,0
10,ADAMS,2013,COUNTY TOTAL,19200.0,1971,102.7,376,19.6,3.0,0,26,281,2,6,0,58,1472,76.7,7,0,199,25,551,1,8,681,123,6.4,67,0,0,2,54,0
11,ADAMS,2014,COUNTY TOTAL,19400.0,1960,101.0,434,22.4,1.0,0,19,314,1,3,0,96,1402,72.3,10,0,190,28,523,1,8,642,124,6.4,88,0,1,0,35,0
12,ADAMS,2015,COUNTY TOTAL,19410.0,1607,82.8,352,18.1,0.0,0,26,256,3,6,0,61,1128,58.1,8,0,189,17,326,0,11,577,127,6.5,93,0,0,0,34,0
13,ADAMS,2016,COUNTY TOTAL,19510.0,1398,71.7,373,19.1,1.0,0,18,280,2,2,0,70,876,44.9,1,0,144,6,255,0,8,462,149,7.6,116,0,1,1,31,0
14,ADAMS,2017,COUNTY TOTAL,19870.0,1323,66.6,334,16.8,1.0,0,29,226,4,2,0,72,819,41.2,5,0,128,11,300,0,4,371,170,8.6,139,0,1,0,30,0
15,ADAMS,2018,COUNTY TOTAL,20020.0,1217,60.8,335,16.7,0.0,0,23,248,1,2,0,61,751,37.5,1,0,124,15,260,0,2,349,131,6.5,96,0,2,0,33,0
16,ADAMS,2019,COUNTY TOTAL,20150.0,1034,51.3,287,14.2,0.0,0,20,225,0,1,0,41,577,28.6,4,0,89,10,182,0,1,291,170,8.4,145,0,2,0,23,0
17,ADAMS,2020,COUNTY TOTAL,20457.0,1091,53.3,253,12.4,1.0,0,23,193,0,1,0,35,744,36.4,3,0,95,4,296,0,3,343,94,4.6,76,0,0,0,18,0
54,ASOTIN,2012,COUNTY TOTAL,21700.0,1437,66.2,286,13.2,0.0,1,8,264,1,0,0,12,974,44.9,1,0,91,7,213,0,6,656,177,8.2,152,0,0,0,25,0
55,ASOTIN,2013,COUNTY TOTAL,21800.0,1491,68.4,278,12.8,0.0,0,5,267,1,5,0,0,1082,49.6,1,0,130,6,261,0,12,672,131,6.0,97,0,1,0,33,0
56,ASOTIN,2014,COUNTY TOTAL,21950.0,1309,59.6,273,12.4,1.0,0,10,262,0,0,0,0,958,43.6,4,1,134,9,246,0,5,559,78,3.6,65,0,0,1,12,0
57,ASOTIN,2015,COUNTY TOTAL,22010.0,1442,65.5,290,13.2,2.0,0,14,273,0,1,0,0,1081,49.1,4,0,86,4,276,0,11,700,71,3.2,55,0,2,0,14,0
58,ASOTIN,2016,COUNTY TOTAL,22150.0,1439,65.0,306,13.8,1.0,0,16,284,4,1,0,0,1081,48.8,2,0,114,7,252,0,2,704,52,2.3,39,0,1,0,12,0
